source,target,weight
Washington,Pacific Lutheran,13
Washington,Oregon State,15
Washington,Washington State,10
Washington,Whitworth,13
Washington,Willamette University,13
Washington,Gonzaga,8
Washington,Seattle,15
Washington,Lewis & Clark,5
Washington,Victoria,13
Washington,British Columbia,13
Washington,Cal Poly-SLO,11
Washington,Brigham Young,11
Washington,Western Washington,15
Washington,Whitman,7
Washington,Idaho,8
Washington,Montana,8
Washington,Portland,3
Washington,Lewis & Clark College,1
Washington,Humboldt State,15
Washington,Nevada-Reno,3
Washington,Portland State,7
Washington,California,10
Washington,Michigan State,13
Washington,Southern California,12
Washington,UCLA,13
Washington,Stanford,9
Washington,Carleton College-CUT,11
Washington,Colorado State,9
Washington,Brown,12
Washington,Minnesota,10
Washington,Northwestern,13
Washington,California-Santa Cruz,5
Washington,Las Positas,3
Washington,Arizona,10
Pacific Lutheran,Washington,1
Pacific Lutheran,Washington State,7
Pacific Lutheran,Oregon State,2
Pacific Lutheran,Western Washington University,12
Pacific Lutheran,Lewis & Clark,5
Pacific Lutheran,Seattle,3
Pacific Lutheran,Whitworth,7
Pacific Lutheran,Western Washington,15
Pacific Lutheran,Puget Sound,8
Pacific Lutheran,Michigan Tech,4
Pacific Lutheran,Macalester,8
Pacific Lutheran,Milwaukee School of Engineering,11
Pacific Lutheran,Brandeis,3
Washington State,Pacific Lutheran,14
Washington State,Washington,12
Washington State,Whitworth,11
Washington State,Gonzaga,11
Washington State,Portland,9
Washington State,Brigham Young,11
Washington State,Montana,13
Washington State,Idaho,15
Washington State,Oregon,4
Washington State,Nevada-Reno,11
Washington State,Puget Sound,5
Washington State,Central Washington,15
Washington State,Oregon State,7
Washington State,Western Washington University,15
Oregon State,Washington,7
Oregon State,Pacific Lutheran,15
Oregon State,Willamette University,12
Oregon State,Stanford,14
Oregon State,Victoria,11
Oregon State,British Columbia,10
Oregon State,Western Washington,9
Oregon State,Cal Poly-SLO,8
Oregon State,Whitman,1
Oregon State,Brigham Young,8
Oregon State,Humboldt State,13
Oregon State,Lewis & Clark College,13
Oregon State,Nevada-Reno,15
Oregon State,Oregon,8
Oregon State,Gonzaga,14
Oregon State,Central Washington,15
Oregon State,Washington State,15
Oregon State,Whitworth,15
Oregon State,Western Washington University,15
Gonzaga,Willamette University,13
Gonzaga,Whitworth,8
Gonzaga,Washington,14
Gonzaga,Western Washington University,12
Gonzaga,Washington State,13
Gonzaga,Lewis & Clark,13
Gonzaga,Western Washington,13
Gonzaga,Puget Sound,13
Gonzaga,Portland State,13
Gonzaga,Oregon State,9
Gonzaga,Whitman,7
Willamette University,Gonzaga,8
Willamette University,Washington,4
Willamette University,Whitworth,6
Willamette University,Lewis & Clark,3
Willamette University,Western Washington University,14
Willamette University,Oregon State,14
Whitworth,Washington,5
Whitworth,Gonzaga,13
Whitworth,Willamette University,13
Whitworth,Pacific Lutheran,12
Whitworth,Lewis & Clark,7
Whitworth,Washington State,12
Whitworth,Portland State,15
Whitworth,Western Washington University,13
Whitworth,Boise State,12
Whitworth,Oregon State,7
Whitworth,UCLA,7
Whitworth,Humboldt State,9
Whitworth,Utah State,8
Lewis & Clark,Seattle,13
Lewis & Clark,Pacific Lutheran,13
Lewis & Clark,Western Washington University,13
Lewis & Clark,Willamette University,13
Lewis & Clark,Washington,11
Lewis & Clark,Whitworth,15
Lewis & Clark,Puget Sound,1
Lewis & Clark,Gonzaga,0
Lewis & Clark,Western Washington,13
Lewis & Clark,Portland,13
Lewis & Clark,Idaho,13
Lewis & Clark,Portland State,1
Lewis & Clark,Humboldt State,2
Lewis & Clark,Arizona,9
Lewis & Clark,Las Positas,8
Lewis & Clark,California-Santa Cruz,9
Seattle,Lewis & Clark,3
Seattle,Western Washington University,8
Seattle,Pacific Lutheran,15
Seattle,Washington,0
Western Washington University,Pacific Lutheran,8
Western Washington University,Seattle,12
Western Washington University,Lewis & Clark,6
Western Washington University,Gonzaga,7
Western Washington University,Willamette University,13
Western Washington University,Boise State,11
Western Washington University,Whitworth,11
Western Washington University,Portland State,14
Western Washington University,Oregon State,9
Western Washington University,Washington State,9
Western Washington University,Texas-Dallas,10
Western Washington University,Dartmouth,12
Western Washington University,California-Santa Cruz,13
Western Washington University,Cal Poly-SLO,3
Western Washington University,California-Santa Barbara,13
Western Washington University,UCLA,5
Brigham Young,Whitman,13
Brigham Young,Stanford,13
Brigham Young,British Columbia,13
Brigham Young,Victoria,13
Brigham Young,Washington,8
Brigham Young,Cal Poly-SLO,13
Brigham Young,Oregon State,13
Brigham Young,Western Washington,13
Brigham Young,Montana,11
Brigham Young,Washington State,6
Brigham Young,Idaho,11
Brigham Young,Portland,8
Brigham Young,Montana State,3
Brigham Young,Northern Arizona,6
Brigham Young,Denver,7
Brigham Young,Texas,13
Brigham Young,South Florida,13
Brigham Young,Wisconsin,14
Brigham Young,LSU,13
Brigham Young,Northwestern,11
Brigham Young,Pittsburgh,12
Brigham Young,Cincinnati,13
Brigham Young,Carleton College-CUT,13
Brigham Young,Arizona State,11
Brigham Young,Grand Canyon,8
Brigham Young,University of New Mexico,3
Brigham Young,The University of Texas at El Paso,11
Brigham Young,Colorado State,2
Brigham Young,UCLA,13
Brigham Young,Santa Clara,13
Brigham Young,Colorado State University,13
Brigham Young,California-Santa Barbara,13
Brigham Young,Ohio State,10
Brigham Young,California,10
Brigham Young,Oregon,15
Whitman,Brigham Young,9
Whitman,Victoria,11
Whitman,Cal Poly-SLO,7
Whitman,Western Washington,6
Whitman,British Columbia,9
Whitman,Stanford,10
Whitman,Oregon State,13
Whitman,Washington,13
Whitman,Nevada-Reno,8
Whitman,Oregon,8
Whitman,Lewis & Clark College,15
Whitman,Gonzaga,15
Whitman,Texas,13
Whitman,San Jose State,13
Whitman,Santa Clara,10
Whitman,California,5
Whitman,Las Positas,7
Whitman,Humboldt State,9
Victoria,Western Washington,13
Victoria,Whitman,13
Victoria,Washington,9
Victoria,Brigham Young,8
Victoria,Oregon State,12
Victoria,Cal Poly-SLO,7
Victoria,California-Santa Barbara,13
Victoria,Connecticut,12
Victoria,Stanford,13
Victoria,California-San Diego,13
Victoria,California,11
Victoria,Southern California,13
Victoria,Wisconsin,4
Victoria,North Carolina,10
Victoria,Colorado State,7
Western Washington,Victoria,6
Western Washington,British Columbia,13
Western Washington,Cal Poly-SLO,5
Western Washington,Whitman,13
Western Washington,Stanford,13
Western Washington,Oregon State,15
Western Washington,Washington,8
Western Washington,Brigham Young,6
Western Washington,Puget Sound,4
Western Washington,Pacific Lutheran,10
Western Washington,Gonzaga,7
Western Washington,Lewis & Clark,4
Western Washington,Idaho,10
Western Washington,Oregon,4
Western Washington,Portland State,6
Western Washington,UCLA,8
Western Washington,California-Santa Cruz,8
Western Washington,California-Santa Barbara,4
Western Washington,Santa Clara,9
Western Washington,San Diego State,11
Stanford,Oregon State,12
Stanford,Brigham Young,10
Stanford,British Columbia,13
Stanford,Cal Poly-SLO,10
Stanford,Western Washington,12
Stanford,Whitman,13
Stanford,California-San Diego,12
Stanford,Victoria,11
Stanford,Connecticut,12
Stanford,California-Santa Barbara,11
Stanford,Southern California,8
Stanford,Texas-Dallas,13
Stanford,Washington,6
Stanford,Wisconsin,10
Stanford,Northwestern,11
Stanford,Minnesota,6
Stanford,Washington University,10
Stanford,Cal Poly-Pomona,13
Stanford,Colorado School of Mines,11
Stanford,Chico State,2
Stanford,North Texas,2
Stanford,California-Davis,2
Stanford,Nevada-Reno,5
Stanford,Duke,8
British Columbia,Western Washington,9
British Columbia,Brigham Young,10
British Columbia,Stanford,7
British Columbia,Washington,8
British Columbia,Oregon State,12
British Columbia,Whitman,13
