Auburn,Alabama,1

Illinois State,Kennesaw State,2

Auburn,Illinois State,7

Alabama,Kennesaw State,2

Auburn,Kennesaw State,11

Alabama,Illinois State,5

LSU,Kentucky,3

Illinois,Alabama-Huntsville,6

LSU,Alabama-Huntsville,8

Illinois,Kentucky,6

LSU,Illinois,4

Alabama-Huntsville,Kentucky,4

Vanderbilt,Mississippi State,4

Georgia State,Mississippi State,4

Georgia State,Vanderbilt,8

Alabama-Birmingham,Mississippi,6

Alabama-Birmingham,Southern Mississippi,6

Mississippi,Southern Mississippi,2

LSU B,Alabama B,7

Illinois State B,Alabama-Huntsville B,10

LSU B,Kentucky B,7

Illinois State B,Alabama B,2

Alabama B,Alabama-Huntsville B,4

Illinois State B,Kentucky B,4

LSU B,Alabama-Huntsville B,12

Alabama B,Kentucky B,2

Kentucky B,Alabama-Huntsville B,8

Auburn,Illinois,7

LSU,Alabama,1

Georgia State,Alabama-Birmingham,2

Vanderbilt,Mississippi,5

Mississippi State,Southern Mississippi,6

Kennesaw State,Alabama-Birmingham,5

Illinois State,Mississippi,9

Vanderbilt,Alabama-Huntsville,2

Kentucky,Georgia State,7

LSU B,Mississippi State,3

Southern Mississippi,Illinois State B,1

Kentucky B,Alabama-Huntsville B,10

Alabama B,Kentucky B,3

Alabama B,Alabama-Huntsville B,15

Auburn,Alabama-Huntsville,3

Illinois,Illinois State,3

LSU,Vanderbilt,11

Kennesaw State,Alabama,2

Auburn,Illinois,1

LSU,Kennesaw State,1

LSU,Auburn,1

Alabama-Huntsville,Illinois State,2

Alabama,Vanderbilt,6

Alabama,Alabama-Huntsville,5

Illinois State,Vanderbilt,9

Georgia State,Illinois State B,12

LSU B,Mississippi,6

Alabama-Birmingham,Southern Mississippi,11

Kentucky,Mississippi State,3

Georgia State,LSU B,5

Kentucky,Alabama-Birmingham,9

Kentucky,Georgia State,2

Illinois,Kennesaw State,6

Alabama-Birmingham,LSU B,8

Mississippi,Illinois State B,1

Mississippi State,Southern Mississippi,8

Mississippi State,Mississippi,8

Southern Mississippi,Illinois State B,5

North Carolina,Duke,6

Carleton College-GoP,Richmond,4

North Carolina,Carleton College-GoP,11

Richmond,Duke,5

North Carolina,Richmond,9

