source,target,weight
North Carolina,Duke,8
North Carolina,East Carolina,11
North Carolina,Johns Hopkins,13
North Carolina,Virginia,11
North Carolina,Appalachian State,11
North Carolina,Maryland,12
North Carolina,Liberty,13
North Carolina,James Madison,13
North Carolina,William,8
North Carolina,Virginia Tech,15
North Carolina,South Carolina,0
North Carolina,Georgetown,7
North Carolina,North Carolina,0
North Carolina,Christopher Newport,13
North Carolina,Elon,11
North Carolina,Richmond,6
North Carolina,Mary Washington,13
North Carolina,High Point,13
North Carolina,Charleston,11
North Carolina,Clemson,9
North Carolina,Wake Forest,13
North Carolina,Davidson,7
North Carolina,Campbell,10
North Carolina,Anderson,12
Duke,North Carolina,11
Duke,Johns Hopkins,11
Duke,East Carolina,11
Duke,Maryland,11
Duke,James Madison,11
Duke,Georgetown,0
Duke,Wake Forest,11
Duke,Clemson,11
Duke,Charleston,11
Duke,Appalachian State,11
Johns Hopkins,East Carolina,13
Johns Hopkins,Duke,9
Johns Hopkins,North Carolina,5
Johns Hopkins,Maryland,7
Johns Hopkins,Virginia Tech,14
Johns Hopkins,William,12
Johns Hopkins,Virginia,15
Johns Hopkins,Georgetown,12
Johns Hopkins,Salisbury,11
Johns Hopkins,American,11
Johns Hopkins,Towson,15
East Carolina,Johns Hopkins,8
East Carolina,North Carolina,5
East Carolina,Duke,6
East Carolina,Liberty,9
East Carolina,South Carolina,4
East Carolina,Appalachian State,11
East Carolina,Wake Forest,11
East Carolina,Charleston,11
East Carolina,Clemson,10
Virginia,North Carolina,13
Virginia,Maryland,7
Virginia,Appalachian State,12
Virginia,Johns Hopkins,8
Virginia,James Madison,9
Virginia,Georgetown,14
Virginia,George Washington,15
Virginia,Delaware,13
Virginia,Virginia Tech,9
Maryland,Appalachian State,12
Maryland,Virginia,10
Maryland,North Carolina,13
Maryland,Johns Hopkins,12
Maryland,South Carolina,10
Maryland,Duke,14
Maryland,George Washington,F
Maryland,James Madison,11
Maryland,American,7
Maryland,Salisbury,11
Maryland,Georgetown,11
Maryland,Towson,13
Maryland,Delaware,6
Maryland,Maryland,6
Appalachian State,Maryland,11
Appalachian State,North Carolina,2
Appalachian State,Virginia,6
Appalachian State,Liberty,13
Appalachian State,East Carolina,10
Appalachian State,South Carolina,11
Appalachian State,Clemson,10
Appalachian State,Charleston,11
Appalachian State,Wake Forest,11
Appalachian State,Duke,9
Liberty,North Carolina,5
Liberty,William,6
Liberty,James Madison,10
Liberty,Appalachian State,11
Liberty,East Carolina,13
William,James Madison,11
William,Liberty,10
William,North Carolina,10
William,Johns Hopkins,11
William,Georgetown,12
William,South Carolina,6
James Madison,William,12
James Madison,North Carolina,4
James Madison,Liberty,13
James Madison,South Carolina,6
James Madison,Virginia,12
James Madison,Duke,13
James Madison,Maryland,7
James Madison,George Washington,15
James Madison,Delaware,9
South Carolina,Georgetown,13
South Carolina,North Carolina,0
South Carolina,Virginia Tech,12
South Carolina,Maryland,13
South Carolina,James Madison,15
South Carolina,William,11
South Carolina,Delaware,7
South Carolina,American,15
South Carolina,East Carolina,11
South Carolina,Appalachian State,8
Georgetown,South Carolina,6
Georgetown,Virginia Tech,7
Georgetown,North Carolina,12
Georgetown,William,10
Georgetown,Virginia,12
Georgetown,Duke,1
Georgetown,Johns Hopkins,11
Georgetown,American,W
Georgetown,Salisbury,11
Georgetown,Maryland,6
Georgetown,Towson,11
Georgetown,Delaware,5
Georgetown,George Washington,7
Virginia Tech,North Carolina,7
Virginia Tech,Georgetown,13
Virginia Tech,South Carolina,10
Virginia Tech,Johns Hopkins,12
Virginia Tech,American,15
Virginia Tech,Delaware,10
Virginia Tech,George Washington,15
Virginia Tech,Virginia,13
Home Team,Away Team,Home Score
Away Team,Home Team,Away Score
Mary Washington,Navy,14
Mary Washington,High Point,12
Mary Washington,Davidson,5
Mary Washington,North Carolina,12
Mary Washington,Christopher Newport,13
Mary Washington,Shenandoah,13
Mary Washington,St Mary,13
Mary Washington,Richmond,15
Navy,Mary Washington,15
Navy,Davidson,6
Navy,High Point,F
Navy,Richmond,7
Navy,Elon,15
Navy,Catholic,13
Navy,Roanoke,13
Navy,Christopher Newport,15
Davidson,High Point,12
Davidson,Navy,15
Davidson,Mary Washington,7
Davidson,Richmond,5
Davidson,Elon,10
Davidson,North Carolina,10
Davidson,Anderson,13
Davidson,Campbell,10
High Point,Davidson,6
High Point,Mary Washington,6
High Point,Navy,F
High Point,North Carolina,4
High Point,Christopher Newport,12
High Point,Campbell,10
High Point,Elon,7
High Point,Anderson,13
Christopher Newport,North Carolina,11
Christopher Newport,Richmond,6
Christopher Newport,Elon,F
Christopher Newport,Mary Washington,1
Christopher Newport,High Point,10
Christopher Newport,St Mary,13
Christopher Newport,Shenandoah,13
Christopher Newport,Navy,3
Christopher Newport,Catholic,13
Richmond,Elon,15
Richmond,Christopher Newport,15
Richmond,North Carolina,15
Richmond,Davidson,15
Richmond,Navy,15
Richmond,Roanoke,13
Richmond,Catholic,13
Richmond,Mary Washington,7
Richmond,Luther,10
Richmond,Valparaiso,11
Richmond,Bowdoin,9
Richmond,Middlebury,11
Richmond,Missouri ,15
Elon,Richmond,8
Elon,North Carolina,9
Elon,Christopher Newport,F
Elon,Davidson,9
Elon,Navy,13
Elon,Anderson,10
Elon,High Point,11
Elon,Campbell,12
Delaware,South Carolina,12
Delaware,American,13
Delaware,Virginia Tech,8
Delaware,Virginia,11
Delaware,James Madison,13
Delaware,Towson,13
Delaware,George Washington,10
Delaware,Maryland,9
Delaware,Georgetown,13
Delaware,Salisbury,15
American,Virginia Tech,2
American,Delaware,1
American,South Carolina,1
American,Maryland,8
American,George Washington,5
American,Georgetown,L
American,Salisbury,8
American,Johns Hopkins,3
American,Towson,11
George Washington,Maryland,F
George Washington,Virginia,9
George Washington,James Madison,5
George Washington,Virginia Tech,3
George Washington,American,13
George Washington,Delaware,5
George Washington,Towson,13
George Washington,Salisbury,15
George Washington,Georgetown,9
Illinois State,Chicago,7
Illinois State,Michigan,10
Illinois State,Indiana,7
Illinois State,Loyola,11
Illinois State,Illinois,7
Illinois State,Northwestern,0
Illinois State,DePaul,14
Chicago,Illinois State,4
Chicago,Michigan,0
Chicago,Indiana,2
Chicago,Grand Valley,11
Chicago,Loyola,14
Chicago,Illinois,0
Chicago,Michigan State,7
Chicago,Kentucky,3
Chicago,Northern Illinois,11
Chicago,DePaul,13
Chicago,Northwestern,10
Michigan,Chicago,11
Michigan,Illinois State,9
Michigan,Purdue,11
Michigan,Northwestern,15
Michigan,Indiana,15
Michigan,Illinois,15
Michigan,Notre Dame,6
Michigan,Kentucky,11
Michigan,Michigan State,11
Michigan,Grand Valley,15
Michigan,Western Michigan,15
Grand Valley,Kentucky,12
Grand Valley,Notre Dame,11
Grand Valley,Chicago,7
Grand Valley,Northwestern,12
Grand Valley,Michigan,6
Grand Valley,Michigan State,15
Kentucky,Grand Valley,10
Kentucky,Notre Dame,F
Kentucky,Purdue,7
Kentucky,Michigan,3
Kentucky,Loyola,11
Kentucky,Ball State,9
Kentucky,Indiana,10
Kentucky,Southern Indiana,13
Kentucky,Michigan State,5
Kentucky,Chicago,11
Notre Dame,Kentucky,W
Notre Dame,Grand Valley,5
Notre Dame,Michigan,13
Notre Dame,Purdue,11
Notre Dame,Southern Indiana,13
Notre Dame,Ball State,13
Notre Dame,Indiana,6
Notre Dame,Illinois,7
Notre Dame,Northwestern,2
Purdue,Michigan,10
Purdue,Northwestern,9
Purdue,Illinois,6
Purdue,Kentucky,11
Purdue,Notre Dame,12
Purdue,Indiana,6
Purdue,Southern Indiana,13
Purdue,Ball State,11
Northwestern,Michigan,2
Northwestern,Purdue,10
Northwestern,Indiana,7
Northwestern,Grand Valley,13
Northwestern,Notre Dame,15
Northwestern,Illinois,11
Northwestern,Michigan State,11
Northwestern,DePaul,13
Northwestern,Northern Illinois,13
Northwestern,Chicago,8
Northwestern,Illinois State,0
Northwestern,Loyola,15
Indiana,Loyola,15
Indiana,Illinois,6
Indiana,Michigan,4
Indiana,Chicago,11
Indiana,Northwestern,10
Indiana,Illinois State,13
Indiana,Ball State,13
Indiana,Purdue,9
Indiana,Southern Indiana,13
Indiana,Kentucky,7
Indiana,Notre Dame,15
Indiana,Michigan State,11
Loyola,Indiana,4
Loyola,Illinois,12
Loyola,Chicago,10
Loyola,Illinois State,6
Loyola,Kentucky,7
Loyola,Northwestern,5
Loyola,Northern Illinois,8
Loyola,DePaul,13
Illinois,Loyola,4
Illinois,Indiana,9
Illinois,Michigan,3
Illinois,Purdue,10
Illinois,Chicago,0
Illinois,Notre Dame,13
Illinois,Northwestern,8
Illinois,Michigan State,15
Illinois,Illinois State,13
Illinois,Illinois,1
Illinois,Northern Illinois,0
Illinois,DePaul,6
Knox,North Park,5
Knox,Eastern Illinois,12
Knox,Valparaiso,8
Knox,Olivet Nazarene,14
Knox,Wheaton,10
Knox,Butler,7
North Park,Knox,12
North Park,Valparaiso,4
North Park,Eastern Illinois,12
North Park,Butler,11
North Park,Rose,8
North Park,Olivet Nazarene,13
North Park,Wheaton,7
Valparaiso,Eastern Illinois,12
Valparaiso,North Park,15
Valparaiso,Knox,10
Valparaiso,Olivet Nazarene,13
Valparaiso,Butler,6
Valparaiso,Rose,13
Valparaiso,Indiana Wesleyan,12
Valparaiso,Kettering,13
Valparaiso,Kalamazoo,13
Valparaiso,Bowdoin,6
Valparaiso,Richmond,6
Valparaiso,Luther,9
Valparaiso,Franciscan,11
Valparaiso,Claremont,15
Eastern Illinois,Valparaiso,0
Eastern Illinois,Knox,7
Eastern Illinois,North Park,7
Eastern Illinois,Olivet Nazarene,5
Eastern Illinois,Wheaton,7
Butler,Wheaton,15
Butler,Rose,13
Butler,Olivet Nazarene,7
Butler,Valparaiso,13
