source,target
0,365
0,409
0,362
0,405
0,373
1,426
1,378
1,344
1,413
1,385
2,347
2,343
2,399
2,383
2,394
3,374
3,425
3,424
3,391
3,397
3,350
3,393
3,413
4,345
4,394
4,368
4,348
4,350
4,379
4,353
5,358
5,388
5,407
5,359
5,369
5,414
6,398
6,399
6,436
7,368
7,350
7,377
7,433
7,436
8,341
8,381
8,352
8,358
8,436
8,383
9,342
9,404
9,405
9,427
9,396
9,346
10,368
10,362
10,355
10,369
10,376
11,359
11,404
11,415
11,344
11,362
11,369
12,412
12,391
12,426
12,367
12,360
13,431
13,429
13,436
13,395
13,426
14,373
14,342
14,379
15,341
15,412
15,354
15,434
15,392
15,359
16,357
16,419
16,437
16,397
16,386
16,430
16,424
16,359
17,367
17,378
17,428
17,351
17,395
18,400
18,428
18,434
18,424
18,345
18,421
19,405
19,394
19,410
20,347
20,344
20,379
21,369
21,356
21,348
22,406
22,435
22,436
23,400
23,377
23,346
23,437
23,428
24,413
24,420
24,396
25,436
26,428
26,430
26,405
27,362
28,351
29,355
29,382
29,373
29,354
30,342
30,390
30,431
30,423
31,414
31,385
31,431
31,398
31,389
32,377
32,355
32,412
32,348
33,418
33,355
33,370
34,365
34,430
34,429
35,375
35,343
35,407
35,366
35,393
36,360
36,382
36,389
36,344
36,429
36,386
37,389
37,341
37,402
37,342
37,433
38,438
38,409
38,423
38,389
38,431
39,408
39,387
39,386
39,382
39,428
40,436
40,379
40,424
40,426
41,402
41,418
41,430
42,430
42,411
43,341
43,383
43,433
43,389
44,359
44,385
44,368
44,357
44,390
44,358
45,392
45,406
45,430
45,346
45,435
46,379
46,430
46,391
46,388
47,410
47,364
47,372
48,390
48,397
48,404
48,342
49,429
49,428
49,436
49,363
49,419
49,387
50,343
50,375
50,430
50,405
50,431
50,428
51,429
51,420
51,411
51,374
51,342
52,410
52,344
52,342
52,400
52,425
53,359
53,344
53,436
54,430
54,434
55,428
55,427
55,360
56,358
56,426
57,436
57,354
58,417
58,376
58,346
59,378
59,422
59,430
60,414
60,430
60,363
61,419
61,404
61,437
61,359
62,366
62,400
63,414
63,356
64,341
64,438
65,419
65,433
66,402
66,399
67,363
67,435
67,436
68,429
68,406
68,430
69,376
69,416
70,431
71,388
71,386
71,410
71,346
72,419
73,395
74,415
75,362
76,342
76,368
77,345
77,366
78,354
78,385
78,405
79,427
79,429
79,409
79,349
79,430
79,351
80,437
80,408
80,395
81,392
81,430
82,345
82,411
83,360
84,433
84,405
84,377
84,353
84,393
85,383
85,401
86,427
86,398
87,381
87,370
87,430
87,414
87,395
88,428
88,423
88,361
88,416
89,427
90,414
91,414
91,344
92,385
93,358
93,386
94,360
95,397
95,420
96,363
97,387
97,427
97,351
97,416
97,364
98,435
99,356
99,378
99,411
99,423
99,368
100,370
101,352
101,417
101,396
101,377
102,348
102,404
102,433
102,351
103,396
103,430
104,397
105,434
106,411
107,428
107,361
108,361
108,379
109,356
110,414
111,357
111,407
111,436
112,401
112,412
112,392
113,415
113,350
113,430
113,400
113,435
114,416
115,391
115,427
115,349
115,366
115,422
116,397
116,431
116,409
116,385
117,430
117,385
118,428
118,431
119,428
119,418
119,435
120,431
120,434
120,430
120,367
121,387
121,407
121,436
121,365
122,352
122,386
122,433
122,406
123,420
124,422
124,414
124,435
124,363
125,428
125,396
126,351
126,401
126,343
126,357
127,341
127,353
128,363
128,344
128,392
129,409
129,364
129,405
129,421
130,398
130,399
131,432
131,362
131,341
131,433
132,379
132,435
133,431
133,381
133,399
133,384
134,342
134,408
135,399
135,408
136,431
136,433
137,390
137,395
137,412
138,372
138,391
139,405
139,430
140,412
140,420
140,376
140,385
140,426
141,390
142,341
142,432
142,435
142,357
142,348
143,429
144,388
144,409
144,351
145,361
145,430
146,386
146,397
147,359
147,436
147,396
147,430
147,437
147,377
148,391
148,341
148,405
148,386
148,344
148,430
149,429
149,371
150,398
150,361
150,430
151,430
151,342
151,400
152,406
152,398
152,347
152,376
153,398
153,431
154,369
154,348
154,382
154,352
154,386
155,429
156,354
156,408
157,430
158,375
158,354
159,378
159,422
159,431
160,405
161,412
162,410
162,341
162,433
162,427
162,352
162,390
162,359
163,369
163,400
163,408
163,417
163,428
164,407
164,435
165,401
165,399
165,370
166,366
166,342
167,388
168,391
169,355
169,418
170,392
171,368
172,428
173,431
173,398
174,395
175,430
176,398
176,342
177,428
178,391
179,363
180,383
180,418
180,373
180,382
181,403
182,360
182,382
182,377
183,436
183,435
183,430
184,411
185,426
185,436
186,355
186,345
187,367
188,404
188,427
189,376
189,395
190,344
190,358
190,387
190,435
191,372
191,391
191,427
192,378
192,342
193,435
193,373
194,404
194,407
195,398
195,345
196,394
196,429
197,437
198,366
199,424
200,436
201,350
202,376
203,400
204,366
205,421
205,382
205,432
206,419
206,348
207,411
207,359
208,368
208,355
208,342
209,438
209,382
210,437
211,344
211,418
212,362
212,433
212,435
212,425
213,428
213,361
213,397
214,406
214,426
215,371
215,398
215,435
216,430
216,358
217,376
217,422
218,385
218,384
219,426
219,434
219,385
220,405
220,427
220,366
220,436
220,411
220,409
221,386
221,417
221,409
222,390
222,396
223,405
223,414
223,346
224,395
224,350
224,361
225,355
225,409
225,437
226,397
227,366
227,377
228,397
229,365
230,436
231,392
232,357
233,377
234,395
234,361
235,391
236,432
237,420
238,391
238,403
239,436
240,372
241,409
241,354
241,343
242,349
242,343
242,351
242,384
243,365
243,383
243,425
244,435
244,369
244,409
244,437
244,436
245,426
246,347
247,361
248,430
249,412
250,433
251,397
251,373
252,436
253,346
253,414
254,393
255,341
255,374
256,377
257,437
257,410
257,346
258,356
258,362
258,341
258,344
259,353
259,363
260,438
260,368
261,343
261,436
262,383
262,438
262,368
262,359
263,430
263,349
263,427
264,385
265,416
266,426
266,364
267,436
267,418
267,363
268,406
268,394
269,371
269,432
269,417
270,431
270,354
271,367
271,374
271,421
272,394
272,406
273,413
273,426
274,344
274,400
274,401
275,428
276,347
277,380
277,347
278,366
278,365
278,360
278,342
279,410
280,397
280,364
280,398
281,420
281,405
281,343
282,342
283,397
284,360
285,426
285,376
285,396
285,409
285,402
286,390
286,434
286,426
286,365
287,432
287,380
288,436
288,382
288,413
289,349
289,361
290,437
290,413
290,433
291,391
292,429
293,396
294,426
294,389
295,427
296,434
297,395
297,436
297,370
297,403
298,364
298,345
298,352
298,343
299,432
299,430
299,375
299,435
300,383
300,394
300,430
300,341
300,366
301,356
301,428
302,341
302,426
303,410
303,436
304,424
304,431
304,349
305,359
306,418
307,341
307,433
308,373
309,433
310,341
311,436
312,420
313,421
314,436
314,380
315,378
315,374
315,358
316,347
317,414
318,381
319,431
320,433
321,361
322,415
323,432
324,433
325,347
326,436
326,419
327,384
328,427
329,437
330,379
331,416
332,347
333,389
334,353
335,432
336,382
337,397
338,417
339,409
340,396
439,791
439,801
439,860
439,802
439,807
440,859
440,802
440,874
440,817
440,843
441,785
441,809
441,800
441,801
441,781
442,867
442,827
442,806
442,877
442,844
442,845
442,843
442,833
443,873
443,837
443,869
443,851
443,836
443,821
443,867
443,842
443,875
444,870
444,819
444,817
444,809
444,834
444,792
445,786
445,875
445,815
446,868
446,801
446,812
446,875
447,807
447,790
447,856
447,865
447,875
447,846
447,833
448,788
448,874
448,829
448,853
448,813
449,828
449,850
449,864
449,823
449,780
450,853
450,825
450,824
450,872
450,855
450,866
451,869
451,818
451,853
451,831
451,859
452,814
452,845
452,869
452,800
452,816
453,796
453,844
453,795
454,840
454,872
454,781
454,803
454,785
454,849
455,866
455,836
455,874
455,847
455,783
455,815
455,831
456,793
456,844
456,797
456,818
456,786
457,793
457,787
457,834
457,869
