Id, Division, Region
North Carolina,Division I,Atlantic Coast

Washington,Division I,Northwest

Cal Poly-SLO,Division I,Southwest

Brigham Young,Division I,Northwest

Colorado,Division I,South Central

Oregon,Division I,Northwest

Ohio State,Division I,Ohio Valley

Massachusetts,Division I,New England

Pittsburgh,Division I,Ohio Valley

Carleton College-CUT,Division I,North Central

Minnesota,Division I,North Central

British Columbia,Division I,Northwest

Brown,Division I,New England

Colorado State,Division I,South Central

California,Division I,Southwest

UCLA,Division I,Southwest

Michigan,Division I,Great Lakes

Tufts,Division I,New England

Oregon State,Division I,Northwest

North Carolina-Wilmington,Division I,Atlantic Coast

North Carolina State,Division I,Atlantic Coast

Georgia,Division I,Southeast

William & Mary,Division I,Atlantic Coast

Vermont,Division I,New England

Georgia Tech,Division I,Southeast

South Carolina,Division I,Atlantic Coast

California-Santa Barbara,Division I,Southwest

Western Washington,Division I,Northwest

Wisconsin,Division I,North Central

Texas-Dallas,Division I,South Central

Texas,Division I,South Central

Dartmouth,Division I,New England

Northwestern,Division I,Great Lakes

James Madison,Division I,Atlantic Coast

Oklahoma State,Division I,South Central

California-Santa Cruz,Division I,Southwest

Northeastern,Division I,New England

Miami (Ohio),Division I,Ohio Valley

California-San Diego,Division I,Southwest

Santa Clara,Division I,Southwest

Stanford,Division I,Southwest

Utah,Division I,Northwest

Alabama,Division I,Southeast

Utah State,Division I,Northwest

Notre Dame,Division I,Great Lakes

Arizona,Division I,Southwest

Auburn,Division I,Southeast

Temple,Division I,Ohio Valley

Tulane,Division I,Southeast

Tennessee,Division I,Southeast

Purdue,Division I,Great Lakes

Alabama-Huntsville,Division I,Southeast

California-Davis,Division I,Southwest

Case Western Reserve,Division I,Ohio Valley

Virginia Tech,Division I,Atlantic Coast

Illinois,Division I,Great Lakes

Virginia,Division I,Atlantic Coast

Whitman,Division I,Northwest

Embry-Riddle,Division III,Southeast

Washington University,Division I,South Central

LSU,Division I,Southeast

Cincinnati,Division I,Ohio Valley

Victoria,Division I,Northwest

Florida,Division I,Southeast

Georgetown,Division I,Atlantic Coast

Occidental,Division III,Southwest

Wisconsin-Milwaukee,Division I,North Central

Tennessee-Chattanooga,Division I,Southeast

Texas A&M,Division I,South Central

Lehigh,Division I,Ohio Valley

Middle Tennessee State,Division I,Southeast

Montana State,Division I,Northwest

Kentucky,Division I,Great Lakes

Nevada-Reno,Division I,Southwest

Carnegie Mellon,Division I,Ohio Valley

Puget Sound,Division III,Northwest

Iowa State,Division I,North Central

Boston University,Division I,New England

Liberty,Division I,Atlantic Coast

Boston College,Division I,New England

North Carolina-Charlotte,Division I,Atlantic Coast

Cornell,Division I,Metro East

Penn State,Division I,Ohio Valley

Missouri S&T,Division III,South Central

Claremont,Division III,Southwest

Humboldt State,Division I,Southwest

Rice,Division III,South Central

Carleton College-GoP,Division III,North Central

Southern California,Division I,Southwest

Indiana,Division I,Great Lakes

Denver,Division I,South Central

Duke,Division I,Atlantic Coast

Texas State,Division I,South Central

Connecticut,Division I,Metro East

North Texas,Division I,South Central

Truman State,Division III,South Central

Richmond,Division III,Atlantic Coast

Dayton,Division I,Ohio Valley

Ave Maria,Division III,Southeast

Central Florida,Division I,Southeast

Gonzaga,Division I,Northwest

Vanderbilt,Division I,Southeast

Northern Arizona,Division I,Southwest

Kansas,Division I,South Central

Princeton,Division I,Metro East

Rochester,Division III,Metro East

Ohio,Division I,Ohio Valley

Chicago,Division I,Great Lakes

Washington State,Division I,Northwest

Villanova,Division I,Ohio Valley

Pennsylvania,Division I,Ohio Valley

Maryland,Division I,Atlantic Coast

Minnesota-Duluth,Division I,North Central

Marist,Division III,Metro East

Franciscan,Division III,Ohio Valley

Cutthroat Spring 2020, , 

Appalachian State,Division I,Atlantic Coast

Texas Tech,Division I,South Central

Emory,Division I,Southeast

Navy,Division III,Atlantic Coast

Wright State,Division I,Ohio Valley

Portland,Division III,Northwest

Arizona State,Division I,Southwest

Virginia Commonwealth University,Division I,Atlantic Coast

Jacksonville State,Division I,Southeast

Chico State,Division I,Southwest

Brandeis,Division III,New England

SUNY-Binghamton,Division I,Metro East

Clemson,Division I,Atlantic Coast

Wisconsin-Whitewater,Division I,North Central

