North Carolina,Duke,6

Johns Hopkins,East Carolina,5

North Carolina,East Carolina,8

Duke,Johns Hopkins,2

North Carolina,Johns Hopkins,8

Duke,East Carolina,4

Virginia,North Carolina State,2

Maryland,Appalachian State,1

North Carolina State,Appalachian State,6

Maryland,Virginia,1

North Carolina State,Maryland,5

Virginia,Appalachian State,6

North Carolina-Wilmington,Liberty,8

James Madison,William,1

North Carolina-Wilmington,James Madison,9

William,Liberty,4

William,North Carolina-Wilmington,2

James Madison,Liberty,3

South Carolina,Georgetown,7

Virginia Tech,North Carolina B,5

South Carolina,North Carolina B,3

Virginia Tech,Georgetown,6

Virginia Tech,South Carolina,4

Georgetown,North Carolina B,5

North Carolina,North Carolina State,13

North Carolina,Virginia Tech,8

North Carolina State,North Carolina-Wilmington,7

North Carolina State,Maryland,5

Maryland,Johns Hopkins,5

Johns Hopkins,Virginia Tech,2

Maryland,North Carolina-Wilmington,1

Johns Hopkins,William,1

Maryland,South Carolina,2

William,Georgetown,2

Johns Hopkins,Virginia,7

Maryland,Duke,3

South Carolina,James Madison,9

South Carolina,William,5

Virginia,James Madison,9

Virginia,Georgetown,2

James Madison,Duke,2

Georgetown,Duke,1

North Carolina B,Appalachian State,2

North Carolina B,East Carolina,2

Appalachian State,Liberty,2

Liberty,East Carolina,4

Navy,Mary Washington,1

Davidson,High Point,10

Mary Washington,High Point,6

Davidson,Navy,9

High Point,Navy,3

Mary Washington,Davidson,1

North Carolina-Asheville,Christopher Newport,2

Richmond,Elon,7

Richmond,Christopher Newport,9

North Carolina-Asheville,Elon,2

Richmond,North Carolina-Asheville,6

Elon,Christopher Newport,7

Richmond,North Carolina-Asheville,9

North Carolina-Asheville,Mary Washington,1

Richmond,Davidson,10

Mary Washington,Christopher Newport,8

North Carolina-Asheville,High Point,2

Davidson,Elon,2

Richmond,Navy,8

High Point,Christopher Newport,2

Navy,Elon,2

Davidson,Mary Washington,2

Delaware B,South Carolina B,5

Virginia Tech B,American B,13

Delaware B,American B,8

Virginia Tech B,South Carolina B,2

Virginia Tech B,Delaware B,2

South Carolina B,American B,14

Maryland B,George Washington B,8

James Madison B,Virginia B,3

Maryland B,James Madison B,4

Virginia B,George Washington B,6

Maryland B,Virginia B,3

James Madison B,George Washington B,11

South Carolina B,Maryland B,3

South Carolina B,Virginia Tech B,2

Maryland B,Virginia B,3

Virginia Tech B,George Washington B,12

South Carolina B,James Madison B,9

Virginia B,Delaware B,2

Maryland B,American B,11

Delaware B,James Madison B,4

James Madison B,George Washington B,10

Delaware B,American B,10

Virginia Tech B,Virginia B,4

Chicago,Illinois State,1

Michigan,Chicago,8

Michigan,Illinois State,1

Grand Valley State,Kentucky,2

Notre Dame,Kentucky,14

Grand Valley State,Notre Dame,2

Michigan B,Purdue,1

Northwestern,Michigan B,14

Purdue,Northwestern,5

Indiana,Loyola-Chicago,11

Illinois,Loyola-Chicago,9

Illinois,Indiana,3

Michigan,Indiana,9

Michigan,Illinois,2

Indiana,Chicago,3

Michigan,Notre Dame,4

Illinois,Purdue,2

Indiana,Northwestern,3

Chicago,Grand Valley State,4

Notre Dame,Michigan B,7

Purdue,Kentucky,1

Indiana,Illinois State,6

Chicago,Loyola-Chicago,8

Illinois,Chicago,10

Northwestern,Purdue,1

Purdue,Notre Dame,4

Northwestern,Grand Valley State,1

Grand Valley State,Notre Dame,6

Illinois State,Michigan B,1

Michigan B,Kentucky,9

Illinois State,Loyola-Chicago,6

Kentucky,Loyola-Chicago,4

Knox,North Park,6

Valparaiso,Eastern Illinois,12

Knox,Eastern Illinois,8

Valparaiso,North Park,11

Valparaiso,Knox,2

North Park,Eastern Illinois,12

Butler,Wheaton Illinois,10

Olivet Nazarene,Rose-Hulman,7

Butler,Rose-Hulman,10

Olivet Nazarene,Wheaton Illinois,9

Olivet Nazarene,Butler,7

Wheaton Illinois,Rose-Hulman,4

Valparaiso,Olivet Nazarene,9

Valparaiso,Butler,3

Olivet Nazarene,Knox,5

Valparaiso,Rose-Hulman,14

Butler,North Park,1

Knox,Wheaton Illinois,4

Olivet Nazarene,Eastern Illinois,12

Wheaton Illinois,Rose-Hulman,5

Rose-Hulman,North Park,2

Wheaton Illinois,Eastern Illinois,6

Knox,Butler,2

Syracuse,SUNY-Buffalo,2

Rutgers,SUNY-Buffalo,7

Rutgers,Syracuse,8

SUNY-Binghamton,SUNY-Albany,2

Connecticut,SUNY-Albany,5

Connecticut,SUNY-Binghamton,8

SUNY-Stony Brook,RIT,2

Cornell,SUNY-Stony Brook,5

RIT,Cornell,3

NYU,Princeton,1

Yale,NYU,3

Yale,Princeton,3

Rutgers,Connecticut,1

Rutgers,Yale,7

Connecticut,Cornell,1

Rutgers,SUNY-Stony Brook,9

Yale,RIT,3

Cornell,NYU,7

Connecticut,Syracuse,6

SUNY-Stony Brook,SUNY-Binghamton,4

