source,target
0,369
0,269
0,340
0,396
0,478
0,387
0,325
0,421
0,221
0,255
0,301
0,288
0,268
0,207
0,314
1,164
1,282
1,321
1,345
1,409
1,244
1,250
1,416
2,291
2,260
2,365
2,266
2,195
2,399
2,235
2,175
3,363
3,474
3,522
3,222
3,245
3,560
3,180
3,534
3,458
4,264
4,479
4,436
4,482
4,267
4,293
4,544
4,465
4,190
4,472
4,212
5,185
5,257
5,532
5,241
5,528
5,410
6,293
6,498
6,183
6,280
6,373
6,419
7,230
7,342
7,238
7,567
7,192
7,164
7,381
7,378
7,406
8,168
8,169
8,340
8,285
8,177
8,519
8,172
9,439
9,195
9,550
9,462
9,568
9,240
9,372
9,172
9,299
9,258
9,224
9,175
9,419
9,185
9,315
9,310
9,196
9,345
10,486
10,258
10,468
10,363
10,410
10,228
10,291
10,443
10,501
10,218
10,424
10,168
10,452
10,428
10,411
11,183
11,345
11,262
11,570
11,355
12,441
12,282
12,187
12,227
12,438
12,436
12,216
12,215
13,463
13,239
13,216
13,375
13,500
13,464
13,359
13,196
14,420
14,185
14,452
14,471
14,291
14,163
15,164
15,535
15,409
15,473
15,304
15,366
16,505
16,411
16,535
16,463
16,202
16,236
16,510
16,276
17,281
17,164
17,189
17,418
17,284
17,368
17,433
17,460
18,350
18,309
18,506
18,365
18,221
18,193
18,215
18,504
18,513
18,182
18,167
19,243
19,216
19,239
19,252
19,196
19,197
19,267
19,482
20,419
20,377
20,467
20,184
20,179
20,232
20,205
20,216
20,535
21,511
21,243
21,559
21,256
21,247
21,502
22,530
22,310
22,375
22,241
22,278
22,478
22,162
23,204
23,341
23,390
23,379
23,408
23,455
23,223
23,325
23,429
23,215
23,241
23,305
23,219
24,466
24,428
24,248
24,207
24,165
24,458
25,181
25,512
25,338
25,196
25,342
25,397
25,361
25,334
25,315
25,168
26,308
26,485
26,166
26,201
26,208
26,243
26,252
27,345
27,293
27,358
27,252
27,359
28,393
28,369
28,167
28,237
28,549
28,233
28,540
28,186
28,297
29,492
29,178
29,340
29,325
29,284
29,205
30,406
30,392
30,205
30,329
30,497
30,334
30,446
30,238
31,266
31,452
31,225
31,343
31,364
32,264
32,213
32,172
32,243
33,196
33,566
33,231
33,284
33,413
33,263
33,387
33,489
33,456
33,542
33,296
33,447
34,215
34,468
34,205
34,173
34,177
34,182
34,441
34,501
34,494
34,294
34,348
35,395
35,183
35,465
35,371
35,503
35,237
35,476
35,351
35,169
35,361
36,519
36,257
36,313
36,343
36,358
36,190
36,543
36,166
37,300
37,287
37,494
38,224
38,510
38,171
38,176
39,224
39,230
39,167
39,565
39,286
39,284
39,307
39,445
39,221
40,314
40,487
40,183
40,429
40,482
40,478
40,313
40,307
41,481
41,337
41,260
41,471
42,289
42,420
42,242
42,204
42,438
42,398
42,375
42,249
42,221
42,368
42,186
42,485
43,220
43,456
43,298
43,177
43,278
43,453
43,397
43,472
43,404
43,486
43,433
44,204
44,388
44,568
44,430
44,457
44,225
44,318
44,422
44,295
44,393
45,424
45,226
45,300
45,203
45,402
45,163
46,487
46,204
46,249
46,362
46,532
47,286
47,221
47,392
47,527
47,252
47,502
47,290
47,296
48,265
48,306
48,217
48,252
48,311
48,310
48,249
48,226
49,206
49,370
49,171
49,222
49,192
49,288
49,455
49,523
49,480
49,220
49,194
50,198
50,374
50,176
50,323
50,164
50,346
50,223
50,531
51,176
51,247
51,206
51,485
51,174
52,371
52,369
52,432
52,484
52,486
52,275
52,422
52,230
53,225
53,448
53,204
53,477
53,180
53,296
53,459
53,364
53,326
53,464
53,449
54,365
54,401
54,527
54,407
54,249
54,453
54,438
54,164
54,200
54,183
55,477
55,315
55,520
55,195
55,364
55,538
55,290
55,509
55,194
55,437
55,297
55,311
55,464
55,348
55,420
56,487
56,311
56,219
56,360
56,305
56,214
56,476
56,264
56,437
56,283
56,425
56,401
57,404
57,310
57,484
57,390
57,302
57,253
57,454
58,503
58,209
58,489
58,267
58,547
58,223
58,361
58,313
58,508
58,172
59,431
59,439
59,430
59,282
59,246
60,187
60,276
60,366
60,167
60,506
60,509
61,480
61,166
61,374
62,174
62,188
62,197
62,291
62,373
62,289
62,258
62,500
62,225
62,533
63,489
63,259
63,319
63,477
63,215
63,295
63,401
63,332
63,297
63,245
63,302
63,206
63,162
63,290
63,485
64,352
64,447
64,397
64,344
64,250
64,498
64,261
64,458
65,402
65,509
65,232
65,313
65,164
65,234
66,226
66,367
66,194
66,411
66,213
66,479
66,402
66,448
66,467
67,218
67,426
67,453
67,326
67,549
67,307
67,217
67,213
67,188
67,405
67,536
67,415
67,435
67,226
67,299
68,172
68,336
68,206
68,327
68,514
68,367
68,293
68,225
69,521
69,315
69,275
69,273
69,216
69,286
69,170
69,397
70,416
70,191
70,453
70,216
70,378
70,227
70,212
70,187
71,437
71,266
71,221
