Id,category
0,tournament
1,tournament
2,tournament
3,tournament
4,tournament
5,tournament
6,tournament
7,tournament
8,tournament
9,tournament
10,tournament
11,tournament
12,tournament
13,tournament
14,tournament
15,tournament
16,tournament
17,tournament
18,tournament
19,tournament
20,tournament
21,tournament
22,tournament
23,tournament
24,tournament
25,tournament
26,tournament
27,tournament
28,tournament
29,tournament
30,tournament
31,tournament
32,tournament
33,tournament
34,tournament
35,tournament
36,tournament
37,tournament
38,tournament
39,tournament
40,tournament
41,tournament
42,tournament
43,tournament
44,tournament
45,tournament
46,tournament
47,tournament
48,tournament
49,tournament
50,tournament
51,tournament
52,tournament
53,tournament
54,tournament
55,tournament
56,tournament
57,tournament
58,tournament
59,tournament
60,tournament
61,tournament
62,tournament
63,tournament
64,tournament
65,tournament
66,tournament
67,tournament
68,tournament
69,tournament
70,tournament
71,tournament
72,tournament
73,tournament
74,tournament
75,tournament
76,tournament
77,tournament
78,tournament
79,tournament
80,tournament
81,tournament
82,tournament
83,tournament
84,tournament
85,tournament
86,tournament
87,tournament
88,tournament
89,tournament
90,tournament
91,tournament
92,tournament
93,tournament
94,tournament
95,tournament
96,tournament
97,tournament
98,tournament
99,tournament
100,tournament
101,tournament
102,tournament
103,tournament
104,tournament
105,tournament
106,tournament
107,tournament
108,tournament
109,tournament
110,tournament
111,tournament
112,tournament
113,tournament
114,tournament
115,tournament
116,tournament
117,tournament
118,tournament
119,tournament
120,tournament
121,tournament
122,tournament
123,tournament
124,tournament
125,tournament
126,tournament
127,tournament
128,tournament
129,tournament
130,tournament
131,tournament
132,tournament
133,tournament
134,tournament
135,tournament
136,tournament
137,tournament
138,tournament
139,tournament
140,tournament
141,tournament
142,tournament
143,tournament
144,tournament
145,tournament
146,tournament
147,tournament
148,tournament
149,tournament
150,tournament
151,tournament
152,tournament
153,tournament
154,tournament
155,tournament
156,tournament
157,tournament
158,tournament
159,tournament
160,tournament
161,tournament
162,tournament
163,tournament
164,tournament
165,tournament
166,tournament
167,tournament
168,tournament
169,tournament
170,tournament
171,tournament
172,tournament
173,tournament
174,tournament
175,tournament
176,tournament
177,tournament
178,tournament
179,tournament
180,tournament
181,tournament
182,tournament
183,tournament
184,tournament
185,tournament
186,tournament
187,tournament
188,tournament
189,tournament
190,tournament
191,tournament
192,tournament
193,tournament
194,tournament
195,tournament
196,tournament
197,tournament
198,tournament
199,tournament
200,tournament
201,tournament
202,tournament
203,tournament
204,tournament
205,tournament
206,tournament
207,tournament
208,tournament
209,tournament
210,tournament
211,tournament
212,tournament
213,tournament
214,tournament
215,tournament
216,tournament
217,tournament
218,tournament
219,tournament
220,tournament
221,tournament
222,tournament
223,tournament
224,tournament
225,tournament
226,tournament
227,tournament
228,tournament
229,tournament
230,tournament
231,tournament
232,tournament
233,tournament
234,tournament
235,tournament
236,tournament
237,tournament
238,tournament
239,tournament
240,tournament
241,tournament
242,tournament
243,tournament
244,tournament
245,tournament
246,tournament
247,tournament
248,tournament
249,tournament
250,tournament
251,tournament
252,tournament
253,tournament
254,tournament
255,tournament
256,tournament
257,tournament
258,tournament
259,tournament
260,tournament
261,tournament
262,tournament
263,tournament
264,tournament
265,tournament
266,tournament
267,tournament
268,tournament
269,tournament
270,tournament
271,tournament
272,tournament
273,tournament
274,tournament
275,tournament
276,tournament
277,tournament
278,tournament
279,tournament
280,tournament
281,tournament
282,tournament
283,tournament
284,tournament
285,tournament
286,tournament
287,tournament
288,tournament
289,tournament
290,tournament
291,tournament
292,tournament
293,tournament
294,tournament
295,tournament
296,tournament
297,tournament
298,tournament
299,tournament
300,tournament
301,tournament
302,tournament
303,tournament
304,tournament
305,tournament
306,tournament
307,tournament
308,tournament
309,tournament
310,tournament
311,tournament
312,tournament
313,tournament
314,tournament
315,tournament
316,tournament
317,tournament
318,tournament
319,tournament
320,tournament
321,tournament
322,tournament
323,tournament
324,tournament
325,tournament
326,tournament
327,tournament
328,tournament
329,tournament
330,tournament
331,tournament
332,tournament
333,tournament
334,tournament
335,tournament
336,tournament
337,tournament
338,tournament
339,tournament
340,tournament
341,team
342,team
343,team
344,team
345,team
346,team
347,team
348,team
349,team
350,team
351,team
352,team
353,team
354,team
355,team
356,team
357,team
358,team
359,team
360,team
361,team
362,team
363,team
364,team
365,team
366,team
367,team
368,team
369,team
370,team
371,team
372,team
373,team
374,team
375,team
376,team
377,team
378,team
379,team
380,team
381,team
382,team
383,team
384,team
385,team
386,team
387,team
388,team
389,team
390,team
391,team
392,team
393,team
394,team
395,team
396,team
397,team
398,team
399,team
400,team
401,team
402,team
403,team
404,team
405,team
406,team
407,team
408,team
409,team
410,team
411,team
412,team
413,team
414,team
415,team
416,team
417,team
418,team
419,team
420,team
421,team
422,team
423,team
424,team
425,team
426,team
427,team
428,team
429,team
430,team
431,team
432,team
433,team
434,team
435,team
436,team
437,team
438,team
