source,target
0,358
0,362
0,426
0,427
0,430
1,383
1,426
1,344
1,348
1,342
2,382
2,435
2,388
2,433
3,379
3,414
3,390
3,436
3,429
3,433
3,368
3,345
4,409
4,434
4,395
4,436
4,354
4,344
4,430
4,416
5,386
5,428
5,362
5,392
5,409
6,373
6,348
6,394
7,367
7,434
7,409
7,346
7,357
8,347
8,433
8,391
8,377
8,410
8,424
8,361
8,375
9,413
9,428
9,355
9,430
9,412
9,344
10,398
10,413
10,359
10,434
10,399
11,437
11,397
11,391
11,354
11,392
11,375
12,380
12,343
12,399
12,430
12,434
13,377
13,342
13,431
13,414
13,395
14,369
14,385
14,435
15,342
15,426
15,405
15,430
15,432
16,376
16,386
16,354
16,428
16,395
16,427
16,420
16,431
17,376
17,347
17,391
17,396
17,350
18,426
18,346
18,429
18,430
18,385
18,436
19,366
19,398
20,409
20,437
20,341
21,341
21,438
21,344
22,422
22,407
22,373
23,436
23,389
23,372
23,417
23,395
24,385
24,378
24,429
25,431
26,433
26,400
26,431
27,416
28,362
29,354
29,390
29,418
29,366
30,347
30,385
30,410
30,405
31,417
31,405
31,383
31,410
31,362
32,352
32,377
32,410
32,405
33,369
33,437
33,367
34,372
34,384
35,436
35,376
35,431
35,374
35,401
36,393
36,435
36,374
36,390
36,411
36,433
37,342
37,392
37,350
37,405
37,425
38,361
38,368
38,420
38,359
38,437
39,416
39,426
39,384
39,342
39,408
40,379
40,433
40,406
40,348
41,381
41,341
41,347
42,429
42,435
43,363
43,365
43,432
43,423
44,373
44,429
44,405
44,396
44,375
45,408
45,359
45,363
45,364
45,427
46,383
46,391
46,407
46,393
47,409
47,360
47,394
48,436
48,427
48,356
49,399
49,363
49,428
49,395
49,343
49,359
50,422
50,436
50,429
50,358
50,418
50,406
51,391
51,342
51,400
51,350
51,398
52,362
52,405
52,344
52,384
52,394
53,344
53,372
53,420
54,383
54,349
54,419
55,366
55,429
56,343
56,377
57,430
57,411
58,437
58,353
58,389
59,436
59,370
59,437
60,350
60,396
60,357
61,406
61,396
