source,target
0,172
0,112
0,17
0,19
0,43
0,187
0,362
0,235
0,358
0,277
0,296
0,267
0,312
0,151
0,67
0,295
0,104
0,165
0,41
0,226
0,176
0,108
0,161
0,173
1,94
1,348
1,42
1,286
1,44
1,311
1,200
1,8
1,287
1,32
1,199
1,49
1,51
1,152
1,180
1,125
1,104
1,225
1,162
1,316
1,88
1,172
2,153
2,103
2,25
2,269
2,71
2,90
2,68
2,157
2,137
2,210
2,166
2,266
2,267
2,106
2,105
2,289
2,89
2,13
2,43
2,18
2,325
2,3
2,126
3,13
3,68
3,173
3,24
3,10
3,318
3,52
3,394
3,143
3,37
3,204
3,57
3,227
3,213
3,391
3,66
3,4
3,54
3,149
3,113
3,39
3,187
3,289
3,300
3,165
3,299
3,124
3,358
3,291
3,160
3,280
3,26
3,28
3,175
3,64
3,281
3,88
3,7
3,127
3,16
3,210
3,59
3,298
3,107
4,48
4,26
4,201
4,75
4,261
4,117
4,138
4,160
4,87
4,15
4,296
4,63
4,349
4,134
4,94
4,214
4,238
4,109
4,318
4,322
4,342
4,40
4,98
4,16
4,288
4,282
4,56
4,308
4,338
4,89
4,210
5,7
5,225
5,9
5,120
5,22
5,23
5,359
5,201
5,325
5,196
5,216
5,127
5,160
5,129
5,195
5,249
5,239
5,46
5,197
5,282
5,172
5,164
5,174
5,252
5,62
5,107
5,148
5,186
5,408
5,238
5,210
5,82
5,42
6,241
6,53
6,213
6,309
6,211
6,49
6,110
6,226
6,210
6,294
6,155
6,54
6,50
6,95
6,296
6,7
6,92
6,377
6,86
6,47
6,45
6,217
6,337
6,280
6,87
6,238
6,112
7,227
7,176
7,111
7,110
7,17
7,57
7,305
7,91
7,58
7,254
7,199
7,18
7,123
7,243
7,117
7,92
7,228
7,255
7,90
7,214
7,213
7,333
7,233
7,175
7,86
7,328
7,41
7,11
7,196
7,316
7,155
8,61
8,339
8,89
8,265
8,64
8,23
8,62
8,186
8,42
8,204
8,79
8,252
8,325
8,110
8,137
8,172
8,402
8,83
8,145
9,204
9,14
9,225
9,55
9,179
9,195
9,47
9,61
9,248
9,112
9,101
9,90
9,34
9,94
9,208
9,72
10,313
10,26
10,357
10,343
10,342
10,18
10,309
10,24
10,103
10,90
10,47
10,301
10,330
10,340
10,364
10,213
10,263
10,91
10,285
10,346
10,158
10,101
10,56
10,156
10,154
10,225
10,220
10,208
11,55
11,113
11,359
11,129
11,97
11,208
11,72
11,219
11,271
11,44
11,330
11,247
11,195
11,169
11,123
11,165
11,176
11,288
12,22
12,190
12,48
12,308
12,365
12,362
12,383
12,378
12,45
12,78
12,31
12,160
12,89
12,20
12,191
12,36
12,174
12,51
12,66
12,115
12,43
12,13
12,63
12,278
12,69
12,253
12,23
12,141
12,106
12,41
12,228
12,92
12,285
13,347
13,55
13,310
13,374
13,85
13,47
13,290
13,359
13,263
13,381
13,312
13,308
13,186
13,319
13,84
13,367
13,129
13,254
13,17
13,103
13,69
13,194
13,154
13,163
13,48
13,273
13,228
13,166
13,25
13,160
13,61
13,27
13,110
13,111
13,271
14,54
14,240
14,346
14,41
14,58
14,33
14,234
14,224
14,109
14,83
14,64
14,32
14,217
14,103
14,293
14,111
14,144
14,316
14,85
14,194
14,139
14,262
14,363
14,44
14,359
14,36
14,53
14,15
14,282
14,170
14,108
14,324
14,55
14,45
14,92
14,125
14,114
14,91
14,204
14,153
15,77
15,153
15,45
15,178
15,113
15,292
15,207
15,28
15,332
15,122
15,295
15,118
15,248
15,56
15,340
15,269
15,70
15,256
15,23
15,339
15,191
15,59
15,346
15,189
15,205
16,225
16,51
16,260
16,174
16,109
16,255
16,26
16,46
16,237
16,151
16,195
16,124
16,60
16,69
16,61
16,57
16,43
16,365
16,108
16,169
16,275
16,16
16,144
16,348
16,202
16,23
16,37
16,252
16,126
17,181
17,58
17,237
17,195
17,40
17,66
17,111
17,141
17,196
17,29
17,114
17,290
17,285
17,233
17,26
17,68
17,173
17,208
17,98
17,241
18,30
18,117
18,387
18,351
18,236
18,50
18,192
18,397
18,112
18,56
18,341
18,151
18,322
18,66
18,184
18,106
18,325
18,333
18,293
18,35
19,59
19,230
19,353
19,286
19,53
19,142
19,245
19,74
19,315
19,282
19,30
19,225
19,306
19,201
19,77
19,28
19,113
19,36
19,104
19,76
19,280
20,72
20,163
20,183
20,48
20,83
20,42
20,191
20,261
20,68
20,153
20,171
20,46
20,98
20,262
20,94
20,381
20,37
20,321
20,334
20,24
20,107
20,307
20,20
20,45
20,193
20,114
21,194
21,46
21,226
21,73
21,359
21,74
21,83
21,290
21,181
21,224
21,89
21,65
21,272
21,353
21,70
21,117
21,92
21,37
21,180
21,357
21,218
21,308
21,228
21,159
21,141
21,26
21,315
21,150
21,56
21,186
21,60
21,205
21,306
21,55
22,40
22,352
22,112
22,39
22,286
22,123
22,262
22,306
22,122
22,351
22,23
22,61
22,205
22,325
22,191
22,247
22,185
22,85
22,261
22,109
22,149
22,257
22,249
22,386
22,117
22,267
22,47
22,168
22,334
22,65
22,105
22,177
23,319
23,160
23,53
23,146
23,163
23,220
23,349
23,119
23,71
23,222
23,75
23,150
23,79
23,45
23,317
23,281
23,374
23,201
24,263
24,186
24,361
24,117
24,195
24,308
24,272
24,66
24,163
24,403
24,230
24,211
24,139
24,389
24,189
24,187
24,26
24,67
24,313
24,276
24,214
24,124
24,142
24,47
24,190
25,200
25,108
25,144
25,88
25,206
25,127
25,231
25,117
25,118
25,220
25,90
25,195
25,304
25,171
25,30
25,297
25,320
25,388
25,156
25,50
26,244
26,286
26,347
26,150
26,179
26,26
26,196
26,129
26,180
26,168
26,268
26,66
26,127
26,283
26,36
26,151
26,134
26,334
26,72
26,32
26,199
26,48
26,55
26,98
26,250
26,364
26,61
26,105
26,54
26,76
26,262
26,275
26,111
26,357
26,60
27,255
27,125
27,194
27,84
27,219
27,369
27,215
27,319
27,241
27,252
27,175
27,237
27,181
27,339
27,248
27,197
27,106
27,269
27,85
27,107
27,123
28,86
28,39
28,385
28,109
28,125
28,223
28,275
28,361
28,121
28,200
28,401
28,101
28,92
28,58
28,115
28,124
28,366
28,111
28,321
28,221
28,400
28,44
28,195
28,307
28,176
28,347
28,217
28,280
28,96
28,234
28,150
28,241
28,267
28,342
29,46
29,375
29,56
29,199
29,151
29,96
29,256
29,239
29,156
29,61
29,88
29,64
29,75
29,109
29,155
29,105
29,277
29,322
29,225
29,352
