source,target
0,13
0,30
0,60
0,71
1,44
1,78
1,46
1,11
1,65
1,37
1,13
1,28
1,84
2,54
2,92
2,91
2,29
2,85
2,64
2,90
3,58
3,32
3,90
3,5
3,35
3,27
3,9
3,20
4,55
4,75
4,5
4,67
4,90
4,45
4,97
4,91
5,79
5,78
5,48
5,77
5,66
5,22
5,34
5,90
5,61
5,54
5,17
5,27
5,57
5,13
5,28
5,84
5,71
5,5
5,18
5,44
5,46
5,59
5,21
5,8
5,67
5,12
5,88
5,30
5,91
5,42
5,52
5,11
5,9
5,70
5,60
5,39
5,65
6,79
6,47
7,64
7,47
7,44
7,21
7,65
7,28
7,13
7,53
7,84
7,90
7,42
8,22
8,58
8,97
8,53
8,66
9,67
9,24
9,18
9,48
9,66
9,92
9,87
9,46
9,53
9,30
9,71
9,35
9,74
9,17
9,94
9,79
9,27
9,12
9,11
9,51
9,14
9,90
9,49
9,78
9,32
9,56
9,95
10,42
10,93
10,61
10,13
10,45
10,64
10,83
11,84
11,60
11,47
11,81
11,35
12,48
12,34
12,52
13,91
13,54
13,49
13,53
13,47
13,71
13,88
13,81
13,83
13,27
13,45
13,93
13,31
13,68
13,60
13,90
13,67
14,80
14,71
14,90
14,18
15,46
15,88
15,47
15,63
15,19
15,43
15,60
15,53
15,90
16,35
16,39
16,22
16,60
16,49
16,30
17,88
17,90
17,87
17,79
18,61
18,24
18,78
18,21
18,92
18,31
18,35
19,87
19,81
20,32
20,20
20,24
20,53
20,77
20,51
20,41
21,29
21,88
21,67
21,84
21,74
21,65
22,26
22,69
22,44
22,54
22,48
22,24
22,60
22,87
22,53
22,67
22,82
22,42
22,36
22,40
22,59
22,76
22,90
23,74
23,90
23,60
23,52
24,90
24,74
24,28
24,53
24,42
24,97
24,79
25,41
25,52
25,93
25,95
25,46
25,34
25,58
25,90
26,63
27,90
27,38
27,52
27,84
27,49
28,88
28,74
28,66
29,77
29,42
29,62
29,94
29,90
29,33
30,35
30,69
30,72
31,85
31,32
32,44
32,55
32,56
32,74
32,90
32,60
32,42
33,49
33,60
33,42
33,72
33,88
34,95
34,77
34,90
34,66
34,79
34,35
34,72
34,57
34,52
35,65
35,49
35,54
35,48
35,53
35,79
35,52
36,90
37,86
37,87
38,58
38,41
38,88
38,82
39,93
39,65
39,51
39,41
39,77
40,82
40,68
40,79
40,64
40,46
40,60
40,42
40,43
41,80
41,89
41,97
41,96
41,71
41,42
41,84
42,62
42,66
42,88
42,42
42,60
42,92
42,85
42,49
42,90
42,50
42,51
42,58
42,79
42,82
43,67
43,88
43,57
43,48
44,79
44,75
44,84
44,63
44,60
44,59
44,45
45,82
45,61
45,53
45,95
45,76
46,90
46,53
46,88
46,71
46,96
47,75
47,79
47,60
47,64
47,63
47,48
48,53
48,81
48,58
48,68
48,60
49,78
49,66
49,85
50,60
51,81
51,90
51,87
52,94
52,88
52,60
52,67
53,93
53,91
53,72
53,80
53,79
53,70
53,86
53,87
53,74
53,81
53,57
53,60
53,88
53,53
54,89
54,63
54,60
54,93
56,85
56,56
56,90
57,65
57,81
57,64
58,89
58,60
58,67
58,91
59,84
59,64
59,62
60,84
60,83
60,81
60,89
60,82
60,93
60,60
60,92
61,80
61,86
61,77
61,82
62,92
62,97
63,88
64,96
64,75
64,66
64,86
65,88
65,78
65,74
66,78
68,71
69,85
70,90
71,88
71,89
71,90
72,74
72,78
72,79
73,79
74,91
74,90
75,77
77,78
78,87
78,90
78,84
79,90
80,88
81,91
81,90
82,90
82,87
82,88
85,88
88,90
88,91
88,88
90,90
90,97
90,92
90,95
93,95
