source,target,weight
Johns Hopkins,East Carolina,21
Johns Hopkins,Duke,20
Johns Hopkins,North Carolina,18
Johns Hopkins,Maryland,27
Johns Hopkins,Virginia Tech,21
Johns Hopkins,William & Mary,23
Johns Hopkins,Virginia,24
Johns Hopkins,Salisbury,13
Johns Hopkins,Maryland-Baltimore County,20
Johns Hopkins,American,14
Johns Hopkins,Towson,21
Johns Hopkins,Georgetown,23
Johns Hopkins,James Madison,20
Johns Hopkins,Rutgers,21
Johns Hopkins,Middlebury,22
Johns Hopkins,Penn State,24
Johns Hopkins,RIT,19
Johns Hopkins,MIT,22
Johns Hopkins,Tennessee-Chattanooga,20
Johns Hopkins,Dayton,24
Johns Hopkins,Connecticut,28
Johns Hopkins,Purdue,28
Johns Hopkins,Georgia Tech,27
Johns Hopkins,SUNY-Buffalo,21
Johns Hopkins,North Carolina-Charlotte,21
Johns Hopkins,Michigan,27
East Carolina,North Carolina,16
East Carolina,Duke,17
East Carolina,Liberty,22
East Carolina,South Carolina,15
East Carolina,North Carolina-Charlotte,17
East Carolina,Appalachian State,21
East Carolina,Wake Forest,14
East Carolina,Charleston,14
East Carolina,Clemson,16
East Carolina,West Chester,16
East Carolina,Virginia Commonwealth,15
East Carolina,Christopher Newport,19
East Carolina,RIT,22
East Carolina,Navy,21
East Carolina,American,22
East Carolina,William & Mary,21
East Carolina,Williams,23
East Carolina,Georgetown,25
East Carolina,Connecticut,21
East Carolina,George Mason,25
East Carolina,Princeton,28
North Carolina,Virginia Tech,24
North Carolina,South Carolina,20
North Carolina,Georgetown,19
North Carolina,North Carolina State,27
North Carolina,Appalachian State,15
North Carolina,North Carolina-Charlotte,15
North Carolina,California,19
North Carolina,Georgia,21
North Carolina,Minnesota,24
North Carolina,Brown,21
North Carolina,Cal Poly-SLO,25
North Carolina,Wisconsin,20
North Carolina,William & Mary,20
North Carolina,James Madison,20
North Carolina,Virginia,16
North Carolina,Towson,19
North Carolina,Lehigh,24
North Carolina,Pennsylvania,22
North Carolina,MIT,24
North Carolina,Villanova,27
North Carolina,Penn State,27
North Carolina,Carleton College-GoP,15
North Carolina,Richmond,17
North Carolina,North Carolina-Wilmington,25
North Carolina,Florida State,24
North Carolina,Harvard,22
North Carolina,Carleton College-CUT,23
North Carolina,Massachusetts,23
North Carolina,Vermont,20
North Carolina,Mary Washington,28
North Carolina,Virginia Commonwealth,19
North Carolina,Davidson,25
North Carolina,George Mason,26
North Carolina,Drexel University,26
North Carolina,American,13
North Carolina,Liberty,21
North Carolina,Wake Forest,13
North Carolina,Rutgers,20
North Carolina,Maryland-Baltimore County,24
North Carolina,Ohio State,21
North Carolina,Dartmouth,20
North Carolina,Tennessee,18
North Carolina,Alabama,22
North Carolina,Victoria,23
North Carolina,Texas,19
Duke,Maryland,25
Duke,James Madison,24
Duke,Georgetown,22
Duke,North Carolina State,18
Duke,Wake Forest,12
Duke,Clemson,23
Duke,Charleston,15
Duke,North Carolina-Wilmington,18
Duke,North Carolina-Charlotte,19
Duke,Appalachian State,21
Duke,Middlebury,26
Duke,Penn State,23
Duke,MIT,25
Duke,Villanova,25
Duke,George Washington,19
Duke,Richmond,19
Duke,Carleton College-GoP,23
Duke,California,19
Duke,Cal Poly-SLO,13
Duke,Stanford,14
Duke,Claremont,12
North Carolina State,Virginia,15
North Carolina State,Appalachian State,19
North Carolina State,Maryland,21
North Carolina State,North Carolina-Wilmington,26
North Carolina State,Charleston,13
North Carolina State,Clemson,14
North Carolina State,Wake Forest,12
North Carolina State,Michigan,29
North Carolina State,Brown,23
North Carolina State,Iowa State,28
North Carolina State,Texas,27
North Carolina State,Tufts,22
North Carolina State,William & Mary,19
North Carolina State,Virginia Tech,21
North Carolina State,James Madison,24
North Carolina State,South Carolina,21
North Carolina State,Temple,16
North Carolina State,Florida State,15
North Carolina State,Emory,24
North Carolina State,Carleton College-GoP,20
North Carolina State,Tennessee,17
North Carolina State,Massachusetts,33
North Carolina State,Pittsburgh,15
North Carolina State,Northeastern,21
North Carolina State,Auburn,21
North Carolina State,Carleton College-CUT,21
North Carolina State,Rhode Island,17
North Carolina State,Ohio,18
North Carolina State,Delaware,20
North Carolina State,University of Pittsburgh,14
North Carolina State,Campbell,22
North Carolina State,North Carolina-Charlotte,20
North Carolina State,Carnegie Mellon,20
North Carolina State,Notre Dame,21
North Carolina State,Alabama,18
North Carolina State,Ohio State,28
Virginia,Maryland,17
Virginia,Appalachian State,18
Virginia,James Madison,17
Virginia,Georgetown,26
Virginia,George Washington,24
Virginia,Delaware,24
Virginia,Virginia Tech,27
Virginia,William & Mary,19
Virginia,South Carolina,20
Virginia,George Mason,22
Virginia,Liberty,21
Virginia,Radford,17
Virginia,Minnesota,22
Virginia,California-Santa Barbara,23
Virginia,Oregon,21
Virginia,Massachusetts,19
Virginia,Northeastern,23
Virginia,Harvard,22
Virginia,North Carolina-Wilmington,16
Virginia,Tennessee-Chattanooga,23
Virginia,Dayton,19
Virginia,Connecticut,15
Virginia,Vermont,25
Virginia,Indiana,27
Virginia,Rutgers,16
Virginia,High Point,21
Virginia,Wake Forest,18
Virginia,Cornell,22
Virginia,Ohio,23
Virginia,Auburn,24
Virginia,Chicago,20
Virginia,Dartmouth,24
Virginia,Tulane,24
